councilors,voted_proportion,votes,year,municipality_code,party,municipality,main_party,region
0,0.32,105,2007,17079,PFYV,Girona,Others,Girona
4,51.68,154,2003,25081,CIU,Espluga Calba,CIU,Lleida
0,1.09,312,2011,8200,UPyD,Sant Boi de Llobregat,Ciutadans,Barcelona
0,4.23,88,2019,8182,JxCAT-JUNTS,Pont de Vilomara i Rocafort,JxC,Barcelona
2,24.71,64,2019,17078,ERC-AM,Ger,ERC,Girona
2,20.43,444,2007,43016,ESQUERRA-AM,Arboç,ERC,Tarragona
5,66.67,48,2007,8280,CIU,Tavertet,CIU,Barcelona
3,25.09,848,2007,8068,CIU,Cervelló,CIU,Barcelona
4,23.71,645,2019,43012,AA-ECG,Altafulla,Others,Tarragona
1,13.14,146,2019,43019,AAE,Ascó,Others,Tarragona
0,4.14,180,2015,17199,CP,Torroella de Montgrí,PSC,Girona
5,67.54,306,2019,43084,EpM -AM,Miravet,ERC,Tarragona
6,61.14,513,2003,17161,CIU,Sant Feliu de Pallerols,CIU,Girona
0,3.32,52,2011,8261,ERC-AM,Santa Susanna,ERC,Barcelona
0,6.61,23,2003,25905,PP,Ribera d'Ondara,PP,Lleida
4,21.69,2131,2003,43014,EA-ERC-AM,Amposta,ERC,Tarragona
3,21.04,548,2015,8044,ERC-AM,Capellades,ERC,Barcelona
4,19.84,1327,2003,43901,PP,Deltebre,PP,Tarragona
0,3.37,45,2011,17039,PP,Camprodon,PP,Girona
1,9.06,553,2015,8240,PP,Sant Sadurní d'Anoia,PP,Barcelona
2,46.32,44,2015,43096,ERC-AM,Morera de Montsant,ERC,Tarragona
2,24.19,45,2007,17144,ESQUERRA-AM,Regencós,ERC,Girona
3,15.29,1250,2019,8035,CEC-EDG,Calella,Others,Barcelona
0,2.24,81,2015,8213,ASF-E,Sant Fruitós de Bages,Others,Barcelona
1,17.89,102,2011,17111,IpEsq-AM,Navata,ERC,Girona
0,0.25,40,2019,17114,PCPC,Olot,Podem,Girona
2,8.14,1051,2007,8217,CIU,Sant Joan Despí,CIU,Barcelona
1,12.4,347,2003,8248,PP,Santa Eulàlia de Ronçana,PP,Barcelona
4,25.34,746,2011,8141,CUP-PA,Navàs,CUP,Barcelona
0,1.89,5,2007,43097,PP,Nou de Gaià,PP,Tarragona
4,44.83,269,2003,8199,SBGE,Sant Bartomeu del Grau,Others,Barcelona
1,11.83,73,2011,17226,PSC-PM,Vilamalla,PSC,Girona
0,5.77,63,2019,8061,Cs,Castellgalí,Ciutadans,Barcelona
4,64.79,92,2007,17125,ESQUERRA-AM,Pardines,ERC,Girona
4,35.15,470,2007,25038,CIU,Aitona,CIU,Lleida
1,7.74,325,2007,8197,SOS LLAVANERES,Sant Andreu de Llavaneres,Others,Barcelona
0,2.73,95,2019,25011,PP,Alcarràs,PP,Lleida
2,15.76,305,2003,8291,CIU,Vacarisses,CIU,Barcelona
2,27.37,225,2011,8268,CLAM-AM,Cercs,ERC,Barcelona
0,1.13,142,2003,43163,ALVENDREL,Vendrell,Others,Tarragona
1,5.59,1474,2015,8169,CiU,Prat de Llobregat,CIU,Barcelona
4,50.52,144,2019,8132,FP-AM,Montmajor,ERC,Barcelona
4,27.14,481,2003,8204,PSC-PM,Sant Climent de Llobregat,PSC,Barcelona
2,26.32,205,2007,8287,PSC-PM,Torrelavit,PSC,Barcelona
0,0.32,96,2007,8205,RC,Sant Cugat del Vallès,Others,Barcelona
0,2.41,27,2011,8083,PM,Folgueroles,Others,Barcelona
1,5.53,253,2011,8072,ICV-EUiA-E,Corbera de Llobregat,Podem,Barcelona
0,3.44,298,2007,17160,PP,Sant Feliu de Guíxols,PP,Girona
5,63.86,53,2007,25088,CIU,Estamariu,CIU,Lleida
3,36.7,138,2011,8116,MRI-AM,Masies de Roda,ERC,Barcelona
4,55.09,254,2019,17159,JxCAT - JUNTS,Sant Feliu de Buixalleu,JxC,Girona
1,12.2,221,2007,17027,PSC-PM,Breda,PSC,Girona
1,6.46,422,2003,8285,IPT,Torelló,Others,Barcelona
2,19.09,163,2003,8290,PSC-PM,Ullastrell,PSC,Barcelona
3,19.6,1366,2003,25217,PSC-CPC-PM,Tàrrega,PSC,Lleida
0,3.39,215,2003,17147,PP,Ripoll,PP,Girona
6,45.32,470,2011,25232,PSC-PM,Torres de Segre,PSC,Lleida
8,38.2,2708,2007,17118,PSC-PM,Palamós,PSC,Girona
2,54.05,60,2015,8189,ISPS - AM,Sant Pere Sallavinera,ERC,Barcelona
7,53.78,981,2003,8075,PSC-PM,Dosrius,PSC,Barcelona
1,15.79,144,2003,17110,EPM-EPM,Mont-ras,Others,Girona
2,50.84,60,2019,8176,JP-AM,Pujalt,ERC,Barcelona
0,0,0,2019,25130,IxM-CP,Maldà,PSC,Lleida
1,14.86,391,2007,17092,PSC-PM,Llançà,PSC,Girona
0,3.88,519,2019,8194,JxCAT - JUNTS,Sant Adrià de Besòs,JxC,Barcelona
0,0.41,92,2011,8266,U.C.E.,Cerdanyola del Vallès,Others,Barcelona
3,29.31,272,2003,25008,PP,Albesa,PP,Lleida
3,46.43,260,2007,43165,CIU,Vilabella,CIU,Tarragona
0,3.63,70,2011,43054,PxC,Espluga de Francolí,Others,Tarragona
0,18.52,20,2011,25001,CiU,Abella de la Conca,CIU,Lleida
7,46.17,1240,2007,8138,CIU,Moià,CIU,Barcelona
1,5.01,616,2011,17114,PP,Olot,PP,Girona
4,31.08,377,2015,8032,ERC-AM,Caldes d'Estrac,ERC,Barcelona
1,6.84,175,2019,43005,ERC-AM,Alcover,ERC,Tarragona
2,8.77,5101,2003,43148,ICV-LP-EPM,Tarragona,Podem,Tarragona
4,17.52,1797,2011,8123,CUP-PA,Molins de Rei,CUP,Barcelona
3,20.9,214,2007,8296,CIU,Vallromanes,CIU,Barcelona
0,1.95,11833,2011,8019,CUP-AxB,Barcelona,CUP,Barcelona
2,17.43,365,2019,17142,PSC-CP,Quart,PSC,Girona
5,53.92,426,2007,43106,CIU,Pinell de Brai,CIU,Tarragona
0,2.09,19,2015,43160,PP,Vallmoll,PP,Tarragona
0,2.1,7,2015,43120,PP,Querol,PP,Tarragona
3,10.41,1587,2019,8125,Cs,Montcada i Reixac,Ciutadans,Barcelona
0,0.69,492,2011,8279,PxCat,Terrassa,VOX,Barcelona
1,11.33,375,2003,8267,ERC-AM,Sentmenat,ERC,Barcelona
9,64.26,1771,2003,8251,PSC-PM,Santa Margarida i els Monjos,PSC,Barcelona
5,56.52,39,2011,8280,CiU,Tavertet,CIU,Barcelona
0,6.73,78,2007,8032,PP,Caldes d'Estrac,PP,Barcelona
0,5.41,20,2003,25002,PSC-PM,Àger,PSC,Lleida
13,42.49,8858,2011,8096,PSC-PM,Granollers,PSC,Barcelona
1,6.24,171,2011,43162,F.I.C.,Vandellòs i l'Hospitalet de l'Infant,Others,Tarragona
0,26.2,49,2011,25123,ICV-EUiA-E,Lladorre,Podem,Lleida
0,0,5,2019,8019,BCN ETS TU,Barcelona,Others,Barcelona
0,3.82,890,2007,8184,C'S,Rubí,Ciutadans,Barcelona
1,6.07,411,2007,8046,CUP,Cardedeu,CUP,Barcelona
0,3.19,42,2015,8162,PP,Hostalets de Pierola,PP,Barcelona
1,18.59,50,2007,43164,CIU,Vespella de Gaià,CIU,Tarragona
4,51.89,55,2007,25097,APF-AM,Fulleda,ERC,Lleida
3,40.17,180,2019,43175,UPV - F IC,Vilalba dels Arcs,Podem,Tarragona
1,15.13,117,2019,8226,JUNTS,Sant Martí de Tous,JxC,Barcelona
0,4.23,3,2015,43058,CP,Figuera,PSC,Tarragona
2,21.72,406,2007,8204,ESQUERRA-AM,Sant Climent de Llobregat,ERC,Barcelona
0,8.6,16,2007,17144,AR-AMI,Regencós,ERC,Girona
1,43.8,60,2011,43174,CiU,Vilella Baixa,CIU,Tarragona
1,13.91,133,2003,8268,IDC,Cercs,Others,Barcelona
1,40.26,31,2007,25060,CIU,Cabanabona,CIU,Lleida
6,66.83,401,2015,43026,ERC-AM,Benissanet,ERC,Tarragona
0,18.87,20,2007,25085,PP,Estaràs,PP,Lleida
4,45.49,353,2015,25027,ERC-MES-AM,Anglesola,ERC,Lleida
6,47.6,745,2007,8145,APO-PM,Olèrdola,PSC,Barcelona
8,52.31,1297,2019,43016,PSC-CP,Arboç,PSC,Tarragona
3,14.05,4418,2003,8205,ERC-AM,Sant Cugat del Vallès,ERC,Barcelona
2,25.63,41,2011,17173,CiU,Sant Martí Vell,CIU,Girona
4,30.07,467,2011,17169,CiU,Sant Julià de Ramis,CIU,Girona
2,18.11,449,2019,43016,CL-AM,Arboç,ERC,Tarragona
1,12.38,112,2015,43009,PSC-CP,Alforja,PSC,Tarragona
0,1.25,157,2019,8270,PEdS,Sitges,Others,Barcelona
4,38.63,610,2015,43094,CiU,Móra la Nova,CIU,Tarragona
3,9.35,2498,2011,8113,PP,Manresa,PP,Barcelona
6,76.97,478,2015,43176,CiU,Vimbodí i Poblet,CIU,Tarragona
0,5.21,5,2011,25909,PM,Vansa i Fórnols,Others,Lleida
3,19.57,614,2019,43145,ERC-AM,Selva del Camp,ERC,Tarragona
1,10.41,140,2011,8148,PP,Olivella,PP,Barcelona
5,30.24,1172,2019,8208,ERC-AM,Sant Esteve Sesrovires,ERC,Barcelona
